Number,Time,genotype,StopisolatedTotalLen,StopisolatedNb
1,Night,KO,357524,15931
2,Night,KO,432480,16996
3,Night,KO,559404,19431
4,Night,KO,479365,29890
5,Night,KO,475472.5,31497
6,Night,KO,556920,15549
7,Night,WT,300259,10643
8,Night,WT,276236,8168
9,Night,WT,481788,23489
10,Night,WT,478758,24928
11,Night,WT,434207,13235
12,Night,WT,420167,16393
1,Day,KO,389293,17471
2,Day,KO,442738,18514
3,Day,KO,447104,30883
4,Day,KO,424140,25602
5,Day,KO,312445.5,22813
6,Day,KO,387150,9667
7,Day,WT,402763,20562
8,Day,WT,466625,19719
9,Day,WT,575004,23483
10,Day,WT,442101,28278
11,Day,WT,374361,16977
12,Day,WT,362674.5,13240.5
